Frame,Frame_Start,Frame_User,Frame_End,Frame_End_Debug,Frame_End_Prepare,Frame_End_Render,Frame_End_Render_GetTexture,Frame_End_Render_EncodeCommands,Frame_End_Render_QueueSubmit,Frame_End_Render_Present,
3.959,0.113,0.000,3.683,0.002,0.325,3.269,0.069,0.537,0.385,2.262,
4.174,0.130,0.000,3.882,0.002,0.297,3.476,0.069,0.578,0.385,2.427,
3.877,0.118,0.000,3.596,0.002,0.347,3.158,0.069,0.526,0.370,2.178,
3.860,0.123,0.000,3.574,0.002,0.299,3.185,0.065,0.528,0.372,2.205,
11.965,0.120,0.000,11.700,0.002,0.294,11.315,0.075,0.519,0.377,10.326,
4.949,0.124,0.000,4.658,0.002,0.320,4.209,0.070,0.586,0.406,3.129,
3.854,0.126,0.000,3.564,0.003,0.304,3.164,0.068,0.538,0.382,2.160,
4.110,0.137,0.000,3.809,0.003,0.300,3.407,0.070,0.538,0.387,2.396,
3.917,0.143,0.000,3.611,0.003,0.303,3.211,0.066,0.585,0.390,2.153,
3.980,0.143,0.000,3.675,0.002,0.340,3.232,0.067,0.540,0.393,2.216,
3.919,0.121,0.000,3.634,0.003,0.300,3.240,0.065,0.544,0.387,2.228,
11.829,0.117,0.000,11.550,0.003,0.296,11.158,0.067,0.536,0.381,10.159,
4.896,0.127,0.000,4.606,0.003,0.297,4.210,0.065,0.574,0.392,3.164,
3.873,0.130,0.000,3.581,0.003,0.298,3.191,0.067,0.532,0.386,2.189,
4.153,0.152,0.000,3.840,0.003,0.299,3.429,0.070,0.556,0.383,2.404,
3.735,0.304,0.000,3.285,0.002,0.306,2.890,0.086,0.770,0.399,1.618,
4.069,0.104,0.000,3.797,0.002,0.287,3.415,0.075,0.486,0.323,2.516,
3.944,0.153,0.000,3.628,0.003,0.298,3.179,0.068,0.528,0.372,2.195,
11.916,0.122,0.000,11.630,0.003,0.298,11.229,0.067,0.523,0.365,10.259,
4.902,0.148,0.000,4.590,0.003,0.297,4.196,0.067,0.567,0.377,3.170,
3.960,0.179,0.000,3.618,0.003,0.303,3.219,0.077,0.539,0.395,2.192,
3.916,0.135,0.000,3.618,0.002,0.311,3.213,0.068,0.528,0.384,2.217,
3.875,0.130,0.000,3.583,0.002,0.299,3.189,0.069,0.525,0.418,2.162,
3.865,0.474,0.000,3.224,0.003,0.338,2.806,0.069,0.549,0.367,1.806,
12.026,0.448,0.000,11.417,0.003,0.267,11.072,0.060,0.446,0.345,10.206,
4.870,0.134,0.000,4.573,0.002,0.296,4.175,0.068,0.529,0.414,3.147,
3.924,0.160,0.000,3.603,0.002,0.299,3.202,0.070,0.530,0.390,2.198,
